latitude,longitude,language
47.377469000000005,8.5367615,de
47.377469000000005,8.5367615,und
47.377469000000005,8.5367615,fr
47.377469000000005,8.5367615,de
51.524835499999995,-0.17311500000000002,en
45.1839645,5.7156775,es
53.134472,20.3859315,pl
51.537060999999994,-0.442361,en
40.319903499999995,-3.893226,es
52.752854,6.959465,en
52.752854,6.959465,nl
51.457877,-2.5853900000000003,en
38.3489055,-0.515521,und
65.181735,25.3252845,fi
49.1846345,-0.371959,fr
49.1846345,-0.371959,fr
48.510291499999994,-2.7655005,pt
40.202796000000006,29.1205295,tr
37.769336,30.550739,tr
52.969719,-1.172266,en
52.969719,-1.172266,en
52.171497,5.6422425,und
43.450861,5.265523,fr
37.593560999999994,30.2121905,tr
37.593560999999994,30.2121905,tr
48.9256115,0.195267,fr
48.9256115,0.195267,fr
48.9256115,0.195267,fr
50.9536745,4.2417725,nl
45.7719935,4.889786,fr
60.753435,15.820491,sv
60.753435,15.820491,sv
52.0054305,5.8966639999999995,en
53.580698,-2.3047579999999996,en
44.449499,8.880845,ar
47.454891,-0.804397,fr
40.4777945,-3.7035075,es
40.4777945,-3.7035075,es
39.9100375,41.2655875,tr
47.4269435,8.671097,de
41.8984165,12.5451455,it
55.1314185,-1.7396195,en
55.1314185,-1.7396195,en
55.1314185,-1.7396195,en
55.1314185,-1.7396195,en
53.801956,-1.56549,en
53.801956,-1.56549,en
48.22012,16.379845500000002,de
48.408123,-4.4995515,fr
51.464686,-0.0706035,en
51.464686,-0.0706035,en
51.464686,-0.0706035,en
51.464686,-0.0706035,en
36.89007,30.680889,tr
40.191291,-3.839942,es
36.622233,-6.2318665,it
38.2072785,21.7997425,el
53.354555000000005,-1.258074,en
43.6960815,11.2574525,und
39,36,tr
40.4777945,-3.7035075,es
38.075314500000005,38.2588015,tr
38.075314500000005,38.2588015,tr
38.075314500000005,38.2588015,tr
41.8315995,12.785723999999998,it
37.1470415,-3.6189315,es
37.1470415,-3.6189315,es
40.23817577,-3.99569003,es
55.9270165,-4.3289349999999995,en
53.0899895,-1.251622,en
59.9106,10.7465,en
51.560587,0.2105895,und
49.7989,30.1153,uk
55.85830249999999,-4.2417514999999995,en
51.358931,-0.092633,en
51.358931,-0.092633,en
50.688713,3.1842775,und
50.688713,3.1842775,fr
51.8071275,-0.1923765,und
40.862357,-3.6683675,es
55.6727755,12.5526325,ar
40.1839485,28.8292025,tr
37.0028265,35.28488,und
37.0028265,35.28488,und
37.0028265,35.28488,und
37.0028265,35.28488,en
43.9262685,1.41479,en
